courseId,name,class,lecturer,room,day,startSlot,endSlot,startTime,endTime,durationSlots,roomType,capacityNeed
FA1A303*,Praktikum Fisika Dasar,TIP-1A,Asisten FD TIP,Coal Mill 203,Mon,8,14,14:10,19:10,6,theory,30
CE1B112,Gambar Teknik,TK-1A,Ani Rahmat,G3.R1,Fri,10,14,15:50,19:10,4,theory,30
CE1I103,Pengantar Teknologi,TK-1A,Okky Putri Prastuti  S.T.  M.T.,G3.R1,Tue,8,14,14:10,19:10,6,theory,30
FA1A403,Kimia Dasar *,TK-1A,Yuni Kurniati  S.T.  M.T.,G3.R2,Wed,10,14,15:50,19:10,4,theory,30
FA1A403*,Praktikum Kimia Dasar,TK-1A,Asisten KD TK,Coal Mill 208,Mon,0,8,07:30,14:10,8,theory,30
CE1D123,Matematika Teknik Kimia 1,TK-3A,Yuni Kurniati  S.T.  M.T.,G4.R2,Fri,8,14,14:10,19:10,6,theory,30
CE1C123,Kimia Fisika*,TK-3A,Fandi Angga Prasetya  S.Si.  M.Si,Coal Mill 205,Mon,10,14,15:50,19:10,4,theory,30
CE1C123*,Praktikum Kimia Fisika (2),TK-3A,Asisten KF 2,Limestone,Thu,7,14,13:20,19:10,7,theory,30
CE1C123*,Praktikum Kimia Fisika (2),TK-3A,Asisten KF 2,G3.R1,Mon,0,7,07:30,13:20,7,theory,30
CE1E103,Proses Perpindahan,TK-3A,Eka Lutfi Septiani  S.T.  M.T.,Coal Mill 204,Wed,4,10,10:50,15:50,6,theory,30
CE1C213,Thermodinamika 1,TK-3A,Mala Hayati Nasution  S.T.  M.T,Coal Mill 204,Tue,0,6,07:30,12:30,6,theory,30
CE1G213,Azas Teknik Kimia 2,TK-3A,Yuni Kurniati  S.T.  M.T.,G3.R3,Thu,1,7,08:20,13:20,6,theory,30
CE1F113,Kimia Organik 1*,TK-3A,Tontowi Ismail,Coal Mill 201,Mon,6,10,12:30,15:50,4,theory,30
CE1F113*,Praktikum Kimia Organik 1 (2),TK-3A,Asisten KO 2,Auditorium,Fri,0,8,07:30,14:10,8,theory,30
CE1F113*,Praktikum Kimia Organik 1 (2),TK-3A,Asisten KO 2,G3.R6,Tue,6,14,12:30,19:10,8,theory,30
GS1EP02,Kewirausahaan,TK-5B,Ruktin Handayani  S.Kom.  M.Kom.,Coal Mill 202,Thu,0,6,07:30,12:30,6,theory,30
CE1D333,Komputasi Numerik Terapan*,TK-5B,Ani Rahmat,G3.R5,Wed,6,10,12:30,15:50,4,theory,30
CE1D333*,Praktikum KNT,TK-5B,Asisten KNT B,G4.R1,Mon,0,7,07:30,13:20,7,theory,30
CE1E334,Operasi Teknik Kimia 2,TK-5A  TK-5B,Okky Putri Prastuti  S.T.  M.T.,G3.R3,Mon,8,14,14:10,19:10,6,theory,30
FA1A803,Ekonomi Teknik,TK-5B,Mala Hayati Nasution  S.T.  M.T,Aula A,Fri,1,7,08:20,13:20,6,theory,30
CE1F402,Teknik Biokimia,TK-5A  TK-5B,Tontowi Ismail,Coal Mill 302,Thu,10,14,15:50,19:10,4,theory,30
CE1H103,Teknik Reaksi Kimia 1,TK-5A  TK-5B,Mala Hayati Nasution  S.T.  M.T,Coal Mill 302,Wed,8,14,14:10,19:10,6,theory,30
CE1E202,Lab Teknik Kimia 1,TK-5B,Eka Lutfi Septiani  S.T.  M.T.,Coal Mill 202,Thu,10,14,15:50,19:10,4,theory,30
CE1E202*,Praktikum Lab Teknik Kimia 1,TK-5B,Asisten Lab TK 1 B,G3.R3,Tue,0,10,07:30,15:50,10,theory,30
GS1EP02,Kewirausahaan,TK-5B,Ruktin Handayani  S.Kom.  M.Kom.,Coal Mill 302,Wed,0,6,07:30,12:30,6,theory,30
CE1D333,Komputasi Numerik Terapan*,TK-5B,Ani Rahmat,G3.R3,Fri,0,4,07:30,10:50,4,theory,30
CE1D333*,Praktikum KNT,TK-5B,Asisten KNT B,G3.R5,Fri,7,14,13:20,19:10,7,theory,30
FA1A803,Ekonomi Teknik,TK-5B,Mala Hayati Nasution  S.T.  M.T,G3.R2,Thu,4,10,10:50,15:50,6,theory,30
CE1E202,Lab Teknik Kimia 1,TK-5B,Eka Lutfi Septiani  S.T.  M.T.,G3.R3,Mon,4,8,10:50,14:10,4,theory,30
CE1E202*,Praktikum Lab Teknik Kimia 1,TK-5B,Asisten Lab TK 1 B,Coal Mill 302,Mon,4,14,10:50,19:10,10,theory,30
CE1K103,Dinamika & Pengendalian Proses,TK-7A,Eka Lutfi Septiani  S.T.  M.T.,Coal Mill 204,Mon,8,14,14:10,19:10,6,theory,30
CE1L253,Pilihan Keahlian 2 : Nanoteknologi,TK-7A,Fandi Angga Prasetya  S.Si.  M.Si,Coal Mill 206,Thu,2,8,09:10,14:10,6,theory,30
CE1L353,Pilihan Keahlian 3 : Manajemen Proyek,TK-7A,Izzati Winda Murti  S.T.  M.T.,G3.R1,Thu,8,14,14:10,19:10,6,theory,30
CE1K152,Bahan Konstruksi & Korosi,TK-7A,Fandi Angga Prasetya  S.Si.  M.Si,Coal Mill 206,Tue,6,10,12:30,15:50,4,theory,30
CE1J402,Sistem Utilitas Pabrik,TK-7A,Ani Rahmat,Coal Mill 202,Fri,6,10,12:30,15:50,4,theory,30
FA1A303,Fisika Dasar+1,TIP-1A,Elita Fidiya Nugrahani  S.T.  M.Eng.  M.T.,C102,Wed,10,14,15:50,19:10,4,theory,30
FA1A303*,Praktikum Fisika Dasar,TIP-1A,Asisten FD TIP,Limestone,Mon,2,8,09:10,14:10,6,theory,30
FA1A503,Kalkulus I,TIP-1A,Sekarsari Utami Wijaya  S.Stat,C101,Fri,8,14,14:10,19:10,6,theory,30
AE1M102,Pengantar Ilmu Ekonomi,TIP-1A,Elsi Mersilia Hanesti  S.EI.  M.SE,G4.R1,Tue,10,14,15:50,19:10,4,theory,30
AE1S103,Kimia Dasar,TIP-1A,Yunita Siti Mardhiyyah,Coal Mill 207,Thu,6,10,12:30,15:50,4,theory,30
AE1S103*,Praktikum Kimia Dasar,TIP-1A,Asisten KD TIP,Coal Mill 208,Tue,0,8,07:30,14:10,8,theory,30
AE1M103,Pengantar Agroindustri,TIP-1A,Azmi Alvian Gabriel  S.TP.  M.P.,Coal Mill 102,Wed,0,6,07:30,12:30,6,theory,30
AE1O102,Logika Pemrograman,TIP-1A,Yohanes Indra Riskajaya  S.Kom.  M.Kom,Coal Mill 302,Wed,6,10,12:30,15:50,4,theory,30
AE1G223,Riset Operasional,TIP-3A,Paramita Setyaningrum  S.T.  M.T.,G4.R4,Thu,8,14,14:10,19:10,6,theory,30
AE1G113,Statistika Industri II,TIP-3A,Paramita Setyaningrum  S.T.  M.T.,Aula A,Wed,6,12,12:30,17:30,6,theory,30
AE1T113,Mesin dan Peralatan Industri,TIP-3A,Azmi Alvian Gabriel  S.TP.  M.P.,Coal Mill 102,Mon,8,14,14:10,19:10,6,theory,30
AE1T124,Pengetahuan Bahan Agroindustri+1,TIP-3A,Azmi Alvian Gabriel  S.TP.  M.P.,G3.R6,Fri,0,6,07:30,12:30,6,theory,30
AE1T124*,Praktikum PBAI,TIP-3A,Asisten PBAI,Aula A,Mon,0,6,07:30,12:30,6,theory,30
AE1G213,Satuan Operasi,TIP-3A,Yunita Siti Mardhiyyah,Aula A,Tue,8,14,14:10,19:10,6,theory,30
GS1EP03,Kewirausahaan,DKV-5A,Rizky Noviasri  S.Sn.  M.Ds.,G3.R6,Wed,4,8,10:50,14:10,4,theory,30
AE1G103,Tata Cara Kerja dan Ergonomi,TIP-5A,Irvan Adhin Cholilie  S.TP.  M.P,Coal Mill 301,Tue,0,6,07:30,12:30,6,theory,30
AE1T323,Perencanaan dan Pengendalian Produksi,TIP-5A,Paramita Setyaningrum  S.T.  M.T.,G3.R2,Wed,0,6,07:30,12:30,6,theory,30
AE1T423,Teknologi Pengemasan dan Pengawetan+1,TIP-5A,Irvan Adhin Cholilie  S.TP.  M.P,Limestone,Tue,10,14,15:50,19:10,4,theory,30
AE1T423*,Praktikum TPP,TIP-5A,Asisten TPP,Auditorium,Wed,8,14,14:10,19:10,6,theory,30
AE1T523,Manajemen Mutu+1,TIP-5A,Yunita Siti Mardhiyyah,Coal Mill 206,Mon,0,4,07:30,10:50,4,theory,30
AE1M123,Ekonomi Teknik,TIP-5A,Paramita Setyaningrum  S.T.  M.T.,Coal Mill 202,Fri,8,14,14:10,19:10,6,theory,30
AE1G723,Analisis Kelayakan Proyek,TIP-7A,Paramita Setyaningrum  S.T.  M.T.,G3.R1,Thu,2,8,09:10,14:10,6,theory,30
AE1M323,Perancangan Pabrik,TIP-7A,Azmi Alvian Gabriel  S.TP.  M.P.,G3.R2,Tue,3,9,10:00,15:00,6,theory,30
AE1M112,Manajemen Sumber Daya Manusia,TIP-7A,Azmi Alvian Gabriel  S.TP.  M.P.,G4.R2,Mon,4,8,10:50,14:10,4,theory,30
AE7M253,Analisa Produktivitas (pilihan),TIP-A,Dyah Satiti,Coal Mill 101,Mon,0,6,07:30,12:30,6,theory,30
AE7T253,Manajemen Pemasaran (pilihan),TIP-A,Dyah Satiti,C102,Tue,8,14,14:10,19:10,6,theory,30
AE7T253,Manajemen Pemasaran (pilihan),TIP-A,Dyah Satiti,Aula A,Wed,0,6,07:30,12:30,6,theory,30
IF12103,Logika Pemrograman,IF-1B,Mohammad Arif Rasyidi  S.Kom.  M.Sc.,Coal Mill 206,Tue,8,14,14:10,19:10,6,theory,30
IF11103,Matematika Diskrit,IF-1B,Ngatini,G4.R4,Mon,0,6,07:30,12:30,6,theory,30
IF11203,Kalkulus I,IF-1B,Puji Andayani  S.Si.  M.Si.  M.Sc.,G4.R1,Thu,8,14,14:10,19:10,6,theory,30
IF15103,Sistem Digital,IF-1B,Doni Setio Pambudi  S.Kom. M.Kom,Auditorium,Thu,2,8,09:10,14:10,6,theory,30
FT1TI02,Pengantar Teknologi Informasi,DKV-1A,Brina Miftahurrohmah  S.Si.  M.Si,G3.R6,Fri,6,10,12:30,15:50,4,theory,30
IF14134,Sistem Basis Data,IF-3B,Lailatul Hidayah  S.Kom.  MS.,Auditorium,Mon,0,8,07:30,14:10,8,theory,30
